lang,page_title,url,wiki_link
de,Benutzer:Shikeishu/Schwedischer Waffenexport,http://www.regeringen.se/sb/d/5272/a/38919,https://de.wikipedia.org/wiki/Benutzer:Shikeishu/Schwedischer_Waffenexport
de,Benutzer:Shikeishu/Schwedischer Waffenexport,http://www.regeringen.se/content/1/c6/21/31/14/8f796344.pdf,https://de.wikipedia.org/wiki/Benutzer:Shikeishu/Schwedischer_Waffenexport
de,Benutzer:Shikeishu/Schwedischer Waffenexport,http://www.regeringen.se/content/1/c6/23/64/51/5efdf0b3.pdf,https://de.wikipedia.org/wiki/Benutzer:Shikeishu/Schwedischer_Waffenexport
de,Benutzer:TZorn/Intern,http://www.regeringen.se/informationsmaterial/2013/07/utrikes-namnbok/,https://de.wikipedia.org/wiki/Benutzer:TZorn/Intern
de,Diskussion:Särskilda skyddsgruppen,http://www.regeringen.se/content/1/c6/05/90/22/08f42579.pdf,https://de.wikipedia.org/wiki/Diskussion:Särskilda_skyddsgruppen
de,Diskussion:Leni Björklund,http://www.regeringen.se/sb/d/1201,https://de.wikipedia.org/wiki/Diskussion:Leni_Björklund
de,Benutzer Diskussion:Harald321,http://www.regeringen.se/artiklar/2015/04/statens-budget-2015-i-siffror/,https://de.wikipedia.org/wiki/Benutzer_Diskussion:Harald321
de,Diskussion:Resandefolket,http://www.regeringen.se/content/1/c6/01/62/48/da90debf.pdf,https://de.wikipedia.org/wiki/Diskussion:Resandefolket
de,Diskussion:Sida (Schweden),http://www.regeringen.se/sb/d/13350/a/149082,https://de.wikipedia.org/wiki/Diskussion:Sida_(Schweden)
de,Öffentlichkeitsprinzip (Schweden),http://www.regeringen.se/sa-styrs-sverige/det-demokratiska-systemet-i-sverige/offentlighetsprincipen/,https://de.wikipedia.org/wiki/Öffentlichkeitsprinzip_(Schweden)
de,Diskussion:Mikael Odenberg,http://www.regeringen.se/sb/d/7372/a/70274,https://de.wikipedia.org/wiki/Diskussion:Mikael_Odenberg
de,Diskussion:Maria Larsson (Politikerin),http://www.regeringen.se/sb/d/7484,https://de.wikipedia.org/wiki/Diskussion:Maria_Larsson_(Politikerin)
de,Diskussion:Svorsk,http://www.regeringen.se/sb/d/5472/a/42502,https://de.wikipedia.org/wiki/Diskussion:Svorsk
de,Diskussion:Peter Norman (Ökonom),http://regeringen.se/sb/d/13478/a/153946,https://de.wikipedia.org/wiki/Diskussion:Peter_Norman_(Ökonom)
de,Diskussion:Peter Norman (Ökonom),http://regeringen.se/sb/d/13478,https://de.wikipedia.org/wiki/Diskussion:Peter_Norman_(Ökonom)
de,Diskussion:Regierung Reinfeldt,http://www.regeringen.se/sb/d/14147/a/176678,https://de.wikipedia.org/wiki/Diskussion:Regierung_Reinfeldt
de,Diskussion:Regierung Reinfeldt,http://regeringen.se/sb/d/7413/a/138383,https://de.wikipedia.org/wiki/Diskussion:Regierung_Reinfeldt
de,Diskussion:Tobias Billström,http://regeringen.se/sb/d/7385/a/70291,https://de.wikipedia.org/wiki/Diskussion:Tobias_Billström
de,Diskussion:Maria Arnholm,http://regeringen.se/sb/d/17098/a/207554,https://de.wikipedia.org/wiki/Diskussion:Maria_Arnholm
de,Diskussion:Erik Ullenhag,http://regeringen.se/sb/d/13490/a/161538,https://de.wikipedia.org/wiki/Diskussion:Erik_Ullenhag
de,Olof Palme,http://www.regeringen.se/contentassets/126003cf7f424174863bb0cc252ba919/granskningskommissionens-betankande-i-anledning-av-brottsutredningen-efter-mordet-pa-statsminister-olof-palme-del-1,https://de.wikipedia.org/wiki/Olof_Palme
de,Diskussion:Olof Palme/Archiv,http://www.regeringen.se/rattsdokument/statens-offentliga-utredningar/1999/01/sou-199988--/,https://de.wikipedia.org/wiki/Diskussion:Olof_Palme/Archiv
de,Benutzer Diskussion:Magiers/Archiv/2016,http://www.regeringen.se/contentassets/e27ee47ea294461bbb0f39b68d31c540/utrikes_namnbok_10.e_reviderade_upplagan.pdf,https://de.wikipedia.org/wiki/Benutzer_Diskussion:Magiers/Archiv/2016
de,Schwedische Streitkräfte,http://www.regeringen.se/globalassets/regeringen/block/fakta-och-genvagsblock/forsvarsdepartementet/regeringsbeslut-3-2017-03-02.pdf,https://de.wikipedia.org/wiki/Schwedische_Streitkräfte
de,Schwedischer Ölausstieg,http://www.regeringen.se/pressmeddelanden/2015/09/regeringen-investerar-for-klimatet/,https://de.wikipedia.org/wiki/Schwedischer_Ölausstieg
de,Schwedischer Ölausstieg,http://www.regeringen.se/49b6b2/contentassets/780b0a7cf1094cd59e779f0879a591fd/pa-vag-mot-ett-oljefritt-sverige,https://de.wikipedia.org/wiki/Schwedischer_Ölausstieg
de,Borås,http://www.regeringen.se/pressmeddelanden/2018/04/samverkansplattform-for-hallbar-svensk-textil-startar-i-boras/,https://de.wikipedia.org/wiki/Borås
de,"Globaler Pakt für eine sichere, geordnete und reguläre Migration",https://www.regeringen.se/artiklar/2018/11/ett-globalt-ramverk-for-saker-ordnad-och-reguljar-migration-global-compact-for-safe-orderly-and-regular-migration/,"https://de.wikipedia.org/wiki/Globaler_Pakt_für_eine_sichere,_geordnete_und_reguläre_Migration"
de,Gabriel Busquets Aparicio,https://www.regeringen.se/pressmeddelanden/2017/04/nya-ambassadorer-fran-mongoliet-italien-spanien-och-turkmenistan/,https://de.wikipedia.org/wiki/Gabriel_Busquets_Aparicio
de,Diskussion:Regierung Löfven II,https://www.regeringen.se/sveriges-regering/miljo--och-energidepartementet/isabella-lovin/,https://de.wikipedia.org/wiki/Diskussion:Regierung_Löfven_II
de,Polisflyget,http://www.regeringen.se/sb/d/10636/a/117611/,https://de.wikipedia.org/wiki/Polisflyget
de,Motormännens Riksförbund,https://www.regeringen.se/4a6c9b/contentassets/a83ec7a66aa0433caabd1caf4c521460/motormannens-riksforbund.pdf,https://de.wikipedia.org/wiki/Motormännens_Riksförbund
de,Diskussion:Schweden/Archiv/1,https://www.regeringen.se/490474/contentassets/742862f81454445b9823c947d64d0170/starkt-skydd-for-valhemligheten,https://de.wikipedia.org/wiki/Diskussion:Schweden/Archiv/1
de,Diskussion:Schweden/Archiv/1,https://www.regeringen.se/4a51b4/contentassets/19d2f2ada4a14ebeae2fe18cf84429b3/starkt-skydd-for-valhemligheten-prop.-201718286,https://de.wikipedia.org/wiki/Diskussion:Schweden/Archiv/1
de,Anna Hallberg,https://www.regeringen.se/sveriges-regering/utrikesdepartementet/anna-hallberg/cv-anna-hallberg/,https://de.wikipedia.org/wiki/Anna_Hallberg
de,Benutzer:Historiefantast/Schmierzettel,http://www.regeringen.se/contentassets/126003cf7f424174863bb0cc252ba919/granskningskommissionens-betankande-i-anledning-av-brottsutredningen-efter-mordet-pa-statsminister-olof-palme-del-1,https://de.wikipedia.org/wiki/Benutzer:Historiefantast/Schmierzettel
de,Oktober 1994,https://www.regeringen.se/49b6b5/contentassets/98bb8343ba2049b08406e2f773b5ac96/regeringsforklaringen-7-oktober-1994,https://de.wikipedia.org/wiki/Oktober_1994
de,März 1996,https://www.regeringen.se/49b6b5/contentassets/fc319be750804952b7400b8e7ed33606/regeringsforklaringen-22-mars-1996,https://de.wikipedia.org/wiki/März_1996
de,Jenny Ohlsson,https://www.regeringen.se/pressmeddelanden/2020/06/ny-ambassador-i-rwanda/,https://de.wikipedia.org/wiki/Jenny_Ohlsson
de,Dan Koehl,https://www.regeringen.se/4963ca/contentassets/3641df8152a34e38b70fbbd064957466/sveriges-akvarieforeningars-riksforbund.pdf,https://de.wikipedia.org/wiki/Dan_Koehl
de,COVID-19-Pandemie in Schweden,https://www.regeringen.se/pressmeddelanden/2020/06/mats-melin-leder-coronakommissionen/,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Schweden
