lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
bcl,Anna Kinberg Batra,https://regeringen.se/pressmeddelanden/2023/02/anna-kinberg-batra-ny-landshovding-i-stockholms-lan/,https://bcl.wikipedia.org/wiki/Anna_Kinberg_Batra,ok,,https://regeringen.se/pressmeddelanden/2023/02/anna-kinberg-batra-ny-landshovding-i-stockholms-lan/,http://web.archive.org/web/20251109045429/https://www.regeringen.se/pressmeddelanden/2023/02/anna-kinberg-batra-ny-landshovding-i-stockholms-lan/,available
bcl,Stockholm University of the Arts,http://www.regeringen.se/sb/d/108/a/206526,https://bcl.wikipedia.org/wiki/Stockholm_University_of_the_Arts,ok,,https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2012/12/dir.-2012121,http://web.archive.org/web/20131127163122/http://www.regeringen.se:80/sb/d/108/a/206526,available
bcl,Stockholm University of the Arts,http://www.regeringen.se/sb/d/16835/a/227082,https://bcl.wikipedia.org/wiki/Stockholm_University_of_the_Arts,dead,HTTP 404,https://www.regeringen.se/sb/d/16835/a/227082,http://web.archive.org/web/20131029200145/http://www.regeringen.se/sb/d/16835/a/227082,available
bcl,Pagtrabaho kan mga aki,http://www.regeringen.se/contentassets/94943fabd8c9427492a71d6324e2d23a/varldens-valfard-fyra-decennier-som-forandrade-planeten,https://bcl.wikipedia.org/wiki/Pagtrabaho_kan_mga_aki,dead,HTTP 404,https://www.regeringen.se/contentassets/94943fabd8c9427492a71d6324e2d23a/varldens-valfard-fyra-decennier-som-forandrade-planeten,http://web.archive.org/web/20220621180941/https://www.regeringen.se/contentassets/94943fabd8c9427492a71d6324e2d23a/varldens-valfard-fyra-decennier-som-forandrade-planeten,available
bs,Tomas Tranströmer,http://regeringen.se/sb/d/14087/a/165866,https://bs.wikipedia.org/wiki/Tomas_Tranströmer,dead,HTTP 404,https://regeringen.se/sb/d/14087/a/165866,http://web.archive.org/web/20140111230654/http://www.regeringen.se/sb/d/14087/a/165866,available
da,Wikipedia:Wikipe-tan,http://www.regeringen.se/content/1/c6/06/03/01/7af212f0.pdf,https://da.wikipedia.org/wiki/Wikipedia:Wikipe-tan,dead,HTTP 404,https://www.regeringen.se/content/1/c6/06/03/01/7af212f0.pdf,http://web.archive.org/web/20070929100157/http://www.regeringen.se/content/1/c6/06/03/01/7af212f0.pdf,available
da,Östersund,http://www.regeringen.se/download/fe37ab46.pdf?major=1&minor=119483&cn=attachmentDuplicator_0_attachment,https://da.wikipedia.org/wiki/Östersund,dead,HTTP 404,https://www.regeringen.se/download/fe37ab46.pdf?major=1&minor=119483&cn=attachmentDuplicator_0_attachment,http://web.archive.org/web/20210426125344/https://www.regeringen.se/download/fe37ab46.pdf?major=1&minor=119483&cn=attachmentDuplicator_0_attachment,available
da,Raoul Wallenberg,http://www.regeringen.se/content/1/c6/04/11/39/37b7322e.pdf,https://da.wikipedia.org/wiki/Raoul_Wallenberg,dead,HTTP 404,https://www.regeringen.se/content/1/c6/04/11/39/37b7322e.pdf,http://web.archive.org/web/20071201212936/http://www.regeringen.se/content/1/c6/04/11/39/37b7322e.pdf,available
da,Mohammed Saeed al-Sahhaf,http://www.regeringen.se/download/6a2655da.pdf?major=1&minor=1244&cn=attachmentPublDuplicator_0_attachment,https://da.wikipedia.org/wiki/Mohammed_Saeed_al-Sahhaf,dead,HTTP 404,https://www.regeringen.se/download/6a2655da.pdf?major=1&minor=1244&cn=attachmentPublDuplicator_0_attachment,,missing
da,Komparativ politik,http://www.regeringen.se/sb/d/4393;jsessionid=aJ4lKvFxQiAa,https://da.wikipedia.org/wiki/Komparativ_politik,dead,HTTP 404,https://www.regeringen.se/sb/d/4393;jsessionid=aJ4lKvFxQiAa,http://web.archive.org/web/20150525101025/http://www.regeringen.se/sb/d/4393;jsessionid=aJ4lKvFxQiAa,available
da,Egyptiske revolution 2011,http://www.regeringen.se/sb/d/7967/a/159996,https://da.wikipedia.org/wiki/Egyptiske_revolution_2011,dead,HTTP 404,https://www.regeringen.se/sb/d/7967/a/159996,http://web.archive.org/web/20120319175640/http://www.regeringen.se/sb/d/7967/a/159996,available
da,Jan Eliasson,http://www.regeringen.se/sb/d/2558/a/34383,https://da.wikipedia.org/wiki/Jan_Eliasson,dead,HTTP 404,https://www.regeringen.se/sb/d/2558/a/34383,,missing
da,Måndagsrörelsen,http://www.regeringen.se/sb/d/14146/a/173215,https://da.wikipedia.org/wiki/Måndagsrörelsen,dead,HTTP 404,https://www.regeringen.se/sb/d/14146/a/173215,http://web.archive.org/web/20121029085615/http://www.regeringen.se/sb/d/14146/a/173215,available
da,Olof Palme,http://www.regeringen.se/download/1cddddce.pdf?major=1&minor=1635&cn=attachmentPublDuplicator_1_attachment,https://da.wikipedia.org/wiki/Olof_Palme,dead,HTTP 404,https://www.regeringen.se/download/1cddddce.pdf?major=1&minor=1635&cn=attachmentPublDuplicator_1_attachment,http://web.archive.org/web/20210404213930/https://www.regeringen.se/download/1cddddce.pdf?major=1&minor=1635&cn=attachmentPublDuplicator_1_attachment,available
da,Försäkringskassan,http://www.regeringen.se/download/5e2e6059.pdf?major=1&minor=11634&cn=attachmentPublDuplicator_0_attachment,https://da.wikipedia.org/wiki/Försäkringskassan,dead,HTTP 404,https://www.regeringen.se/download/5e2e6059.pdf?major=1&minor=11634&cn=attachmentPublDuplicator_0_attachment,http://web.archive.org/web/20210402112035/https://www.regeringen.se/download/5e2e6059.pdf?major=1&minor=11634&cn=attachmentPublDuplicator_0_attachment,available
da,U137,http://www.regeringen.se/sb/d/108/a/3738,https://da.wikipedia.org/wiki/U137,ok,,https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2001/11/sou-200185/,http://web.archive.org/web/20150508234435/http://www.regeringen.se:80/sb/d/108/a/3738,available
da,Cubas historie,http://www.regeringen.se/sb/d/2580/a/13963,https://da.wikipedia.org/wiki/Cubas_historie,dead,HTTP 404,https://www.regeringen.se/sb/d/2580/a/13963,http://web.archive.org/web/20150525101549/http://www.regeringen.se/sb/d/2580/a/13963,available
da,Sveriges regeringer,http://www.regeringen.se/,https://da.wikipedia.org/wiki/Sveriges_regeringer,dead,redirect_to_root,https://www.regeringen.se/,,missing
da,Sveriges statsministre,http://www.regeringen.se/,https://da.wikipedia.org/wiki/Sveriges_statsministre,dead,redirect_to_root,https://www.regeringen.se/,,missing
da,Signalefterretning,http://www.regeringen.se/contentassets/8969c5369203425a9a5162fa81dd0bd3/personuppgiftsbehandling-hos-forsvarsmakten-och-forsvarets-radioanstalt,https://da.wikipedia.org/wiki/Signalefterretning,ok,,https://www.regeringen.se/contentassets/8969c5369203425a9a5162fa81dd0bd3/personuppgiftsbehandling-hos-forsvarsmakten-och-forsvarets-radioanstalt,http://web.archive.org/web/20241125083839/https://www.regeringen.se/contentassets/8969c5369203425a9a5162fa81dd0bd3/personuppgiftsbehandling-hos-forsvarsmakten-och-forsvarets-radioanstalt/,available
da,Signalefterretning,http://www.regeringen.se/contentassets/693b8ae3054e4cc98592adafa1ce5d17/signalspaning-for-polisiara-behov-sou-200966,https://da.wikipedia.org/wiki/Signalefterretning,ok,,https://www.regeringen.se/contentassets/693b8ae3054e4cc98592adafa1ce5d17/signalspaning-for-polisiara-behov-sou-200966,http://web.archive.org/web/20241223000046/https://www.regeringen.se/contentassets/693b8ae3054e4cc98592adafa1ce5d17/signalspaning-for-polisiara-behov-sou-200966,available
da,Anslagstavlan,http://www.regeringen.se/download/f1caa70f.pdf?major=1&minor=47740&cn=attachmentPublDuplicator_0_attachment,https://da.wikipedia.org/wiki/Anslagstavlan,dead,HTTP 404,https://www.regeringen.se/download/f1caa70f.pdf?major=1&minor=47740&cn=attachmentPublDuplicator_0_attachment,http://web.archive.org/web/20210419113506/https://www.regeringen.se/download/f1caa70f.pdf?major=1&minor=47740&cn=attachmentPublDuplicator_0_attachment,available
