lang,page_title,url,wiki_link,status,reason,ia_url,ia_status
it,Discussione:Natura 2000,http://w3.vic-metria.nu/n2k/jsp/main.jsp,https://it.wikipedia.org/wiki/Discussione:Natura_2000,error,"HTTPConnectionPool(host='w3.vic-metria.nu', port=80): Max retries exceeded with url: /n2k/jsp/main.jsp (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146918f50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Dundret,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001036/G%C3%A4llande,https://lld.wikipedia.org/wiki/Dundret,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001036/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccf4d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Hällberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2041707/G%C3%A4llande,https://lld.wikipedia.org/wiki/Hällberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2041707/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfa960>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Ålleberg,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002868/G%C3%A4llande,https://lld.wikipedia.org/wiki/Ålleberg,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002868/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfb020>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Hoverberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000906/G%C3%A4llande,https://lld.wikipedia.org/wiki/Hoverberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000906/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfb3e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Pålsundsberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2003107/G%C3%A4llande,https://lld.wikipedia.org/wiki/Pålsundsberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2003107/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131731f70>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Bispbergs klack,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002082/G%C3%A4llande,https://lld.wikipedia.org/wiki/Bispbergs_klack,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002082/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfade0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Djurmoklack,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2023570/G%C3%A4llande,https://lld.wikipedia.org/wiki/Djurmoklack,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2023570/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1317306b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Balsberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2005707/G%C3%A4llande,https://lld.wikipedia.org/wiki/Balsberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2005707/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126315940>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Skuleberget,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000506/G%C3%A4llande,https://lld.wikipedia.org/wiki/Skuleberget,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000506/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfb2f0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
lld,Jupukka,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001260/G%C3%A4llande,https://lld.wikipedia.org/wiki/Jupukka,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001260/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131356870>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Andersby ängsbackar,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002596/G%C3%A4llande,https://no.wikipedia.org/wiki/Andersby_ängsbackar,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002596/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126accaa0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Kindla naturreservat,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000262/G%C3%A4llande,https://no.wikipedia.org/wiki/Kindla_naturreservat,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000262/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1317303b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
