lang_x,page_title_x,url,wiki_link_x,lang_y,page_title_y,wiki_link_y
special,Q112826295,https://www.esamverka.se/download/18.361cfdb517c0c1bd7ccc40f5/1635233771197/R%C3%A5d%20s%C3%A4krare%20extern%20%C3%B6verf%C3%B6ring%20av%20information%20v1.1%20211026.docx,https://special.wikipedia.org/wiki/Q112826295,special,Q112826295,https://special.wikipedia.org/wiki/Q112826295
special,Q112826296,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c8ca/1598467569167/eSam%20-%20V%C3%A4gledning%20E-legitimation%20och%20E-underskrift%201.1.pdf,https://special.wikipedia.org/wiki/Q112826296,special,Q112826296,https://special.wikipedia.org/wiki/Q112826296
special,Q112826298,https://www.esamverka.se/download/18.1d126bc174ad1e6c39b352/1561720847142/Digitalisera%20r%C3%A4tt%20-%20en%20praktisk%20juridisk%20v%C3%A4gledning.pdf,https://special.wikipedia.org/wiki/Q112826298,special,Q112826298,https://special.wikipedia.org/wiki/Q112826298
special,Q112826299,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c63d/1598298292306/Eget%20utrymme%20hos%20myndighet%20-%20en%20v%C3%A4gledning%202016.pdf,https://special.wikipedia.org/wiki/Q112826299,special,Q112826299,https://special.wikipedia.org/wiki/Q112826299
special,Q112826300,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cae2/1598467797623/Outsourcing%20-%20en%20v%C3%A4gledning%20om%20sekretess%20och%20persondataskydd.pdf,https://special.wikipedia.org/wiki/Q112826300,special,Q112826300,https://special.wikipedia.org/wiki/Q112826300
special,Q112826302,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c4db/1576749838091/Outsourcing%202.0%20sekretess%20och%20dataskydd%202019.pdf,https://special.wikipedia.org/wiki/Q112826302,special,Q112826302,https://special.wikipedia.org/wiki/Q112826302
special,Q112826305,https://www.esamverka.se/download/18.1397f64174b9f2d0f566494/1601994763065/V%C3%A4gledning%20f%C3%B6r%20verksamhetsutveckling%20inom%20e-f%C3%B6rvaltningen%203.0.pdf,https://special.wikipedia.org/wiki/Q112826305,special,Q112826305,https://special.wikipedia.org/wiki/Q112826305
special,Q112826306,https://www.esamverka.se/download/18.2889444f174fe7bcd5c284f/1602063448889/Elektroniskt%20informationsutbyte.pdf,https://special.wikipedia.org/wiki/Q112826306,special,Q112826306,https://special.wikipedia.org/wiki/Q112826306
special,Q112826308,https://www.esamverka.se/download/18.1d126bc174ad1e6c39beef/1488372938850/2017%20FAQ%20v%C3%A4gledning%20e-legitimering.pdf,https://special.wikipedia.org/wiki/Q112826308,special,Q112826308,https://special.wikipedia.org/wiki/Q112826308
special,Q112826309,https://www.esamverka.se/download/18.4472a99d1784abb64fe55a56/1617090726276/V%C3%A4gledning%20Lagringsytor%20210312.pdf,https://special.wikipedia.org/wiki/Q112826309,special,Q112826309,https://special.wikipedia.org/wiki/Q112826309
special,Q112826310,https://www.esamverka.se/download/18.4472a99d1784abb64fe55a6e/1617090755211/V%C3%A4gledning%20eget%20utrymme%20hos%20myndighet%20210312.pdf,https://special.wikipedia.org/wiki/Q112826310,special,Q112826310,https://special.wikipedia.org/wiki/Q112826310
special,Q112826312,https://www.esamverka.se/download/18.1afa2964179effea5a286f48/1625144886153/V%C3%A4gledning%20programvarulicensiering.pdf,https://special.wikipedia.org/wiki/Q112826312,special,Q112826312,https://special.wikipedia.org/wiki/Q112826312
special,Q112826314,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca2c/1598298292497/V%C3%A4gledning_R%C3%A4ttsliga%20f%C3%B6ruts%C3%A4ttningar%20f%C3%B6r%20digitalt%20i%20f%C3%B6rsta%20hand.pdf,https://special.wikipedia.org/wiki/Q112826314,special,Q112826314,https://special.wikipedia.org/wiki/Q112826314
special,Q112826316,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cafe/1464274177874/R%C3%A4ttsligt%20uttalande%20r%C3%B6jandebegreppet.pdf,https://special.wikipedia.org/wiki/Q112826316,special,Q112826316,https://special.wikipedia.org/wiki/Q112826316
special,Q112826318,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c885/1464690679088/R%C3%A4ttsligt%20uttalande%20f%C3%B6r%20sekretess%20enligt%2040%20kap%205%20%C2%A7%20offentlighets-%20och%20sekretesslagen.pdf,https://special.wikipedia.org/wiki/Q112826318,special,Q112826318,https://special.wikipedia.org/wiki/Q112826318
special,Q112826320,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cad7/1528807998458/R%C3%A4ttsligt%20uttalande%20inkommandetidpunkten.pdf,https://special.wikipedia.org/wiki/Q112826320,special,Q112826320,https://special.wikipedia.org/wiki/Q112826320
special,Q112826321,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cad0/1528808048350/R%C3%A4ttsligt%20uttalande%20Eget%20utrymme%202018.pdf,https://special.wikipedia.org/wiki/Q112826321,special,Q112826321,https://special.wikipedia.org/wiki/Q112826321
special,Q112826323,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cad1/1528808076113/Ra%CC%88ttsligt%20uttalande%20art%2022%20autobeslut.pdf,https://special.wikipedia.org/wiki/Q112826323,special,Q112826323,https://special.wikipedia.org/wiki/Q112826323
special,Q112826324,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cad2/1528808101751/Ra%CC%88ttsligt%20uttalande%20Missbruk%20av%20e-leg%202017.pdf,https://special.wikipedia.org/wiki/Q112826324,special,Q112826324,https://special.wikipedia.org/wiki/Q112826324
special,Q112826325,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cac3/1542007824143/eSam%20-%20Ra%CC%88ttsligt%20uttalande%20om%20ro%CC%88jande%20och%20molntj%C3%A4nster.pdf,https://special.wikipedia.org/wiki/Q112826325,special,Q112826325,https://special.wikipedia.org/wiki/Q112826325
special,Q112826326,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caf4/1568977769756/Kompletterande%20information%20om%20molnfr%C3%A5gan%202019-09.pdf,https://special.wikipedia.org/wiki/Q112826326,special,Q112826326,https://special.wikipedia.org/wiki/Q112826326
special,Q112826327,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cafd/1511878443000/R%C3%A4ttsligt%20uttalande%20Eget%20utrymme%202017.pdf,https://special.wikipedia.org/wiki/Q112826327,special,Q112826327,https://special.wikipedia.org/wiki/Q112826327
special,Q112826329,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c6c6/1498546141169/Informationsskyldighet%20enligt%20dataskyddsf%C3%B6rordningen%20170217.pdf,https://special.wikipedia.org/wiki/Q112826329,special,Q112826329,https://special.wikipedia.org/wiki/Q112826329
special,Q112826331,https://www.esamverka.se/download/18.24752069177d2c0b5d822b39/1614594125303/PM%20inkommande%20handlingar%2020171031.pdf,https://special.wikipedia.org/wiki/Q112826331,special,Q112826331,https://special.wikipedia.org/wiki/Q112826331
special,Q112826332,https://www.esamverka.se/download/18.24752069177d2c0b5d823993/1614608608771/PM%20Eget%20utrymme%20november%2020171122.pdf,https://special.wikipedia.org/wiki/Q112826332,special,Q112826332,https://special.wikipedia.org/wiki/Q112826332
special,Q112826334,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe6c/1656583915057/ES2022-06%20Promemoria%20En%20modern%20registerf%C3%B6rfattning.pdf,https://special.wikipedia.org/wiki/Q112826334,special,Q112826334,https://special.wikipedia.org/wiki/Q112826334
special,Q112826335,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cb0b/1562066744454/Checklista%20R%C3%A4ttsliga%20f%C3%B6ruts%C3%A4ttningar%20i%20utvecklingsinsatser%202.0.pdf,https://special.wikipedia.org/wiki/Q112826335,special,Q112826335,https://special.wikipedia.org/wiki/Q112826335
special,Q112826337,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cabd/1530622293881/Olaglig%20anv%C3%A4ndning%20av%20e-legitimation_1806.pdf,https://special.wikipedia.org/wiki/Q112826337,special,Q112826337,https://special.wikipedia.org/wiki/Q112826337
special,Q112826338,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c88c/1542008743030/Checklista%20om%20molntj%C3%A4nster_2018.pdf,https://special.wikipedia.org/wiki/Q112826338,special,Q112826338,https://special.wikipedia.org/wiki/Q112826338
special,Q112826339,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c5e6/1488546069471/Checklista_Dataskyddsombud_2017.pdf,https://special.wikipedia.org/wiki/Q112826339,special,Q112826339,https://special.wikipedia.org/wiki/Q112826339
special,Q112826341,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe78/1656583943622/ES2022-08%20Checklista%20Juridik%20vid%20anv%C3%A4ndning%20av%20AI.pdf,https://special.wikipedia.org/wiki/Q112826341,special,Q112826341,https://special.wikipedia.org/wiki/Q112826341
special,Q112826342,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c4e0/1588230902739/V%C3%A4gledning%20it-avtal%20200414%20.pdf,https://special.wikipedia.org/wiki/Q112826342,special,Q112826342,https://special.wikipedia.org/wiki/Q112826342
special,Q112826343,https://www.esamverka.se/download/18.24752069177d2c0b5d83068e/1615465835726/eSam%20Allm%C3%A4nna%20villkor%20f%C3%B6r%20it-drift%20201127.pdf,https://special.wikipedia.org/wiki/Q112826343,special,Q112826343,https://special.wikipedia.org/wiki/Q112826343
special,Q112826346,https://www.esamverka.se/download/18.24752069177d2c0b5d83068f/1614848412281/Alternativ%20text%20ensidig%20sekretess%20av%20it-drift%20210225.pdf,https://special.wikipedia.org/wiki/Q112826346,special,Q112826346,https://special.wikipedia.org/wiki/Q112826346
special,Q112826350,https://www.esamverka.se/download/18.24752069177d2c0b5d830690/1614848430267/Kommentar%20eSams%20Allm%C3%A4nna%20villkor%20it-drift%20210121.pdf,https://special.wikipedia.org/wiki/Q112826350,special,Q112826350,https://special.wikipedia.org/wiki/Q112826350
special,Q112826351,https://www.esamverka.se/download/18.24752069177d2c0b5d830abb/1614853920963/Kommentar%20Allm%C3%A4nna%20villkor%20it-konsultj%C3%A4nster%20201126.pdf,https://special.wikipedia.org/wiki/Q112826351,special,Q112826351,https://special.wikipedia.org/wiki/Q112826351
special,Q112826352,https://www.esamverka.se/download/18.4472a99d1784abb64fe55a91/1617090802466/eSams%20Allm%C3%A4nna%20villkor%20f%C3%B6r%20it-support%20210312.pdf,https://special.wikipedia.org/wiki/Q112826352,special,Q112826352,https://special.wikipedia.org/wiki/Q112826352
special,Q112826353,https://www.esamverka.se/download/18.4472a99d1784abb64fe55a92/1617090817392/Alternativ%20text%20ensidig%20sekretess%20av%20it-support%20210312.pdf,https://special.wikipedia.org/wiki/Q112826353,special,Q112826353,https://special.wikipedia.org/wiki/Q112826353
special,Q112826354,https://www.esamverka.se/download/18.78b492bf17917b0c72fc91df/1622020920481/Kommentarer%20till%20allm%C3%A4nna%20villkor%20f%C3%B6r%20it-support%20210324.pdf,https://special.wikipedia.org/wiki/Q112826354,special,Q112826354,https://special.wikipedia.org/wiki/Q112826354
special,Q112826355,https://www.esamverka.se/download/18.a9fb3aa17ce4b6615c2c20c/1636475018736/Allm%C3%A4nna%20villkor%20f%C3%B6r%20itkonsulttj%C3%A4nster%20200623.pdf,https://special.wikipedia.org/wiki/Q112826355,special,Q112826355,https://special.wikipedia.org/wiki/Q112826355
special,Q112826356,https://www.esamverka.se/download/18.4a6f5f6917d92048565195d2/1639144071672/211201%20Allm%C3%A4nna%20villkor%20f%C3%B6r%20agila%20it-projekt.pdf,https://special.wikipedia.org/wiki/Q112826356,special,Q112826356,https://special.wikipedia.org/wiki/Q112826356
special,Q112826357,https://www.esamverka.se/download/18.4a6f5f6917d92048565195d3/1639144091985/211201%20Allm%C3%A4nna%20villkor%20f%C3%B6r%20it-projekt.pdf,https://special.wikipedia.org/wiki/Q112826357,special,Q112826357,https://special.wikipedia.org/wiki/Q112826357
special,Q112826358,https://www.esamverka.se/download/18.4a6f5f6917d92048565195d4/1639144103481/211201%20ensidig%20sekretess%20it-projekt%20och%20agila%20it-projekt.pdf,https://special.wikipedia.org/wiki/Q112826358,special,Q112826358,https://special.wikipedia.org/wiki/Q112826358
special,Q112826360,https://www.esamverka.se/download/18.4e1610117dbd469b5ca1312/1641892195480/Kommentar%20Allma%CC%88nna%20villkor%20it-projekt%20och%20agila%20it-projekt%20211201.pdf,https://special.wikipedia.org/wiki/Q112826360,special,Q112826360,https://special.wikipedia.org/wiki/Q112826360
special,Q112826361,https://www.esamverka.se/download/18.6590d943179efdbb16883883/1625040452917/210630%20Rapport%20vidareutnyttjande%20av%20data_1.0.pdf,https://special.wikipedia.org/wiki/Q112826361,special,Q112826361,https://special.wikipedia.org/wiki/Q112826361
special,Q112826363,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cb10/1498033050119/Expertgrupp%20s%C3%A4kerhet%20-%20rapport%20v1.0.pdf,https://special.wikipedia.org/wiki/Q112826363,special,Q112826363,https://special.wikipedia.org/wiki/Q112826363
special,Q112826365,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caef/1561613720069/Organisering%20f%C3%B6r%20s%C3%A4kerhet%201.0.pdf,https://special.wikipedia.org/wiki/Q112826365,special,Q112826365,https://special.wikipedia.org/wiki/Q112826365
special,Q112826366,https://www.esamverka.se/download/18.2592ea441774291f4c756db/1611825241932/PM%20Teknik%20och%20molntj%C3%A4nster%201.0%202021.pdf,https://special.wikipedia.org/wiki/Q112826366,special,Q112826366,https://special.wikipedia.org/wiki/Q112826366
special,Q112826367,https://www.esamverka.se/download/18.1ec521a61817ffb56514fea9/1656598104185/Tekniska%20f%C3%B6ruts%C3%A4ttningar%20i%20molntj%C3%A4nster%202.0_2022.pdf,https://special.wikipedia.org/wiki/Q112826367,special,Q112826367,https://special.wikipedia.org/wiki/Q112826367
special,Q112826368,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caf9/1600692578260/Verksamhetsber%C3%A4ttelse%202016-2017.pdf,https://special.wikipedia.org/wiki/Q112826368,special,Q112826368,https://special.wikipedia.org/wiki/Q112826368
special,Q112826370,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caf7/1600692578274/Verksamhetsber%C3%A4ttelse%202017-2018.pdf,https://special.wikipedia.org/wiki/Q112826370,special,Q112826370,https://special.wikipedia.org/wiki/Q112826370
special,Q112826373,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caf8/1600692578291/Verksamhetsber%C3%A4ttelse%202018-2019.pdf,https://special.wikipedia.org/wiki/Q112826373,special,Q112826373,https://special.wikipedia.org/wiki/Q112826373
special,Q112826375,https://www.esamverka.se/download/18.1d126bc174ad1e6c39caf2/1600692779862/Verksamhetsber%C3%A4ttelse%202019-2020.pdf,https://special.wikipedia.org/wiki/Q112826375,special,Q112826375,https://special.wikipedia.org/wiki/Q112826375
special,Q112826376,https://www.esamverka.se/download/18.285cc221179efba035a8c871/1625212989425/Verksamhetsber%C3%A4ttelse%202020-2021.pdf,https://special.wikipedia.org/wiki/Q112826376,special,Q112826376,https://special.wikipedia.org/wiki/Q112826376
special,Q112826377,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe98/1656584048075/eSams%20plan%2022-23%20med%20bilaga.pdf,https://special.wikipedia.org/wiki/Q112826377,special,Q112826377,https://special.wikipedia.org/wiki/Q112826377
special,Q112826378,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cb03/1467108692004/Metamodell%20V1.0.zip,https://special.wikipedia.org/wiki/Q112826378,special,Q112826378,https://special.wikipedia.org/wiki/Q112826378
special,Q112773726,https://www.esamverka.se/om-esam/om-esam.html,https://special.wikipedia.org/wiki/Q112773726,special,Q112773726,https://special.wikipedia.org/wiki/Q112773726
