lang,page_title,url,wiki_link,status,reason,final_url,ia_url,ia_status
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/britta-hammarbacken_0895238225703,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/britta-hammarbacken_3047a9fd-324d-44cb-ad9b-ba29e574b4f3/,http://web.archive.org/web/20191013125819/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/britta-hammarbacken_0895238225703,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/jan-hyttring_0430662617406,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/jan-hyttring_89b1a6e6-6993-49f6-9dfa-621e4d2a53e8/,http://web.archive.org/web/20220701005235/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/jan-hyttring_0430662617406,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/per-asling_74c39a37-e184-44f6-9a7e-36cdb06c9dcc,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/per-asling_74c39a37-e184-44f6-9a7e-36cdb06c9dcc/,http://web.archive.org/web/20230324161836/https://riksdagen.se/sv/ledamoter-partier/ledamot/per-asling_74c39a37-e184-44f6-9a7e-36cdb06c9dcc,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/Hitta-ledamot/Ledamoter/Bckstrm-Daniel-0665485817222/,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,dead,HTTP 404,https://www.riksdagen.se/sv/ledamoter-och-partier/Hitta-ledamot/Ledamoter/Bckstrm-Daniel-0665485817222/,http://web.archive.org/web/20160409023549/http://www.riksdagen.se/sv/ledamoter-partier/Hitta-ledamot/Ledamoter/Bckstrm-Daniel-0665485817222/,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/sofia-nilsson_560c0817-1b91-478a-b273-87a82888328e,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/sofia-nilsson_560c0817-1b91-478a-b273-87a82888328e/,http://web.archive.org/web/20230330010659/https://riksdagen.se/sv/ledamoter-partier/ledamot/sofia-nilsson_560c0817-1b91-478a-b273-87a82888328e,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/bjorn-rubenson_0504073787702,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/bjorn-rubenson_1b63cd86-7a44-4990-a17a-c8e47f44907b/,http://web.archive.org/web/20220810235831/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/bjorn-rubenson_0504073787702,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/Larry-S%C3%B6der_0992473266516/,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/larry-soder_e238e06a-acac-4fae-829c-1773ee851878/,,missing
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/camilla-brodin_86c365a5-452c-4bca-8871-45bf67a44645,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/camilla-brodin_86c365a5-452c-4bca-8871-45bf67a44645/,http://web.archive.org/web/20230409075713/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/camilla-brodin_86c365a5-452c-4bca-8871-45bf67a44645,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/erik-slottner_de4912d9-657c-4eba-9cd8-68f0cdc2e9c9,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/erik-slottner_de4912d9-657c-4eba-9cd8-68f0cdc2e9c9/,http://web.archive.org/web/20221019214620/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/erik-slottner_de4912d9-657c-4eba-9cd8-68f0cdc2e9c9,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/hampus-hagman_88438cea-b340-48cf-8fa8-230f1a8d2ea2,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/hampus-hagman_88438cea-b340-48cf-8fa8-230f1a8d2ea2/,http://web.archive.org/web/20230328002632/https://riksdagen.se/sv/ledamoter-partier/ledamot/hampus-hagman_88438cea-b340-48cf-8fa8-230f1a8d2ea2,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/mats-berglund_7a3c3bff-401a-45da-9f1b-e92d4a5c2637,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/mats-berglund_7a3c3bff-401a-45da-9f1b-e92d4a5c2637/,http://web.archive.org/web/20230321112832/https://www.riksdagen.se/sv/ledamoter-partier/ledamot/mats-berglund_7a3c3bff-401a-45da-9f1b-e92d4a5c2637,available
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/arne-svensson_0545494137791,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/arne-svensson_51c90ec7-c0d8-41ba-b793-e3a711cbc75c/,,missing
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/goran-allmer_0369065037402?p=3,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/goran-allmer_41587b4a-09fd-4ea8-964c-3de7e1526702/,,missing
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://riksdagen.se/sv/ledamoter-partier/ledamot/rene-francis_0230805519613,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter,ok,,https://www.riksdagen.se/sv/ledamoter-och-partier/ledamot/rene-francis_559cd867-ca8d-4fe2-a170-7431b6972681/,http://web.archive.org/web/20191013202730/https://riksdagen.se/sv/ledamoter-partier/ledamot/rene-francis_0230805519613,available
