lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
sv,Palasso,http://www.esv.se/sv/2/Press/Nyheter-och-pressmeddelanden/2012/ESV-forbereder-for-nasta-generation-Lone--och-PA-system/,https://sv.wikipedia.org/wiki/Palasso,dead,https://www.statskontoret.se:443/sv/2/Press/Nyheter-och-pressmeddelanden/2012/ESV-forbereder-for-nasta-generation-Lone--och-PA-system/,,missing,HTTP 404
sv,Uppdragsverksamhet,http://www.esv.se/PageFiles/2054/tydligare-styrning.pdf,https://sv.wikipedia.org/wiki/Uppdragsverksamhet,dead,https://www.statskontoret.se:443/PageFiles/2054/tydligare-styrning.pdf,http://web.archive.org/web/20150924002523/http://www.esv.se/PageFiles/2054/tydligare-styrning.pdf,available,HTTP 404
sv,Uppdragsverksamhet,http://www.esv.se/PageFiles/11140/2013-42-rapport-avgifter-2012.pdf,https://sv.wikipedia.org/wiki/Uppdragsverksamhet,dead,https://www.statskontoret.se:443/PageFiles/11140/2013-42-rapport-avgifter-2012.pdf,,missing,HTTP 404
sv,Rättssäkert och effektivt verkställighetsarbete,http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=11010,https://sv.wikipedia.org/wiki/Rättssäkert_och_effektivt_verkställighetsarbete,dead,https://www.statskontoret.se:443/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=11010,http://web.archive.org/web/20160304091437/http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=11010,available,HTTP 404
sv,Sveriges statsbudget,http://www.esv.se/amnesomraden/Prognoser-och-utfall/Utfall-for-statens-budget/,https://sv.wikipedia.org/wiki/Sveriges_statsbudget,dead,https://www.statskontoret.se:443/amnesomraden/Prognoser-och-utfall/Utfall-for-statens-budget/,http://web.archive.org/web/20160304101036/http://www.esv.se/amnesomraden/Prognoser-och-utfall/Utfall-for-statens-budget/,available,HTTP 404
sv,Riksutställningar,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16247,https://sv.wikipedia.org/wiki/Riksutställningar,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16247,http://web.archive.org/web/20160305013858/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=16247,available,HTTP 404
sv,Trafikverket,http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15399,https://sv.wikipedia.org/wiki/Trafikverket,dead,https://www.statskontoret.se:443/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15399,http://web.archive.org/web/20160305014245/http://www.esv.se/sv/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15399,available,HTTP 404
sv,Användardiskussion:Joshua06/Arkiv2015,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,https://sv.wikipedia.org/wiki/Användardiskussion:Joshua06/Arkiv2015,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,http://web.archive.org/web/20160305014204/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,available,HTTP 404
sv,Försvarsmaktens telekommunikations- och informationssystemförband,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,https://sv.wikipedia.org/wiki/Försvarsmaktens_telekommunikations-_och_informationssystemförband,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,http://web.archive.org/web/20160305014204/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=15900,available,HTTP 404
sv,Nämnden för statens gruvegendom,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=273,https://sv.wikipedia.org/wiki/Nämnden_för_statens_gruvegendom,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=273,http://web.archive.org/web/20160304112911/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=273,available,HTTP 404
sv,Riksgäldskontoret,http://www.esv.se/statsliggaren/regleringsbrev/?RBID=16974,https://sv.wikipedia.org/wiki/Riksgäldskontoret,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=16974,http://web.archive.org/web/20241217114649/https://www.esv.se/statsliggaren/regleringsbrev/?RBID=16974,available,
sv,Länsstyrelsen i Dalarnas län,http://www.esv.se/statsliggaren/regleringsbrev/?RBID=18223,https://sv.wikipedia.org/wiki/Länsstyrelsen_i_Dalarnas_län,ok,https://www.statskontoret.se:443/statsliggaren/regleringsbrev/?RBID=18223,http://web.archive.org/web/20240523112742/https://www.esv.se/statsliggaren/regleringsbrev/?RBID=18223,available,
