url,status
http://www.scb.se/hitta-statistik/statistik-efter-amne/miljo/markanvandning/smaorter-arealer-befolkning/pong/tabell-och-diagram/forandringar-i-antalet-smaorter-2010-2015/,HARD_404
"http://www.ssd.scb.se/databaser/makro/SubTable.asp?yp=bergman&xu=scb&omradekod=BE&huvudtabell=UtlSvBakgTot&omradetext=Befolkning&tabelltext=Antal+personer+med+utl%E4ndsk+eller+svensk+bakgrund+efter+region,+civilst%E5nd,+%E5lder+och+k%F6n.+%C5r&preskat=O&prodid=BE0101&starttid=2002&stopptid=2006&Fromwhere=M&lang=1&langdb=1",ERROR
http://www.scb.se/Statistik/BE/BE0101/2012M02/Be0101KomJmfBef_2011_.xls,HARD_404
http://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101F/UtlmedbR/table/tableViewLayout1/?rxid=20a6d62c-45be-4fd3-8a6e-0fc6b433877f,200
http://www.scb.se/hitta-statistik/statistik-efter-amne/befolkning/befolkningens-sammansattning/befolkningsstatistik/pong/tabell-och-diagram/helarsstatistik--forsamling-landskap-och-stad/folkmangd-i-landskapen-den-31-december-2016/,HARD_404
https://www.scb.se/hitta-statistik/statistik-efter-amne/befolkning/befolkningens-sammansattning/befolkningsstatistik/pong/tabell-och-diagram/kvartals--och-halvarsstatistik--kommun-lan-och-riket/kvartal-4-2019/,HARD_404
http://www.scb.se/Statistik/MI/MI0810/2010A01Z/05_Tatorter2010_befolkning_1960_2010.xls,HARD_404
https://www.scb.se/hitta-statistik/statistik-efter-amne/befolkning/befolkningens-sammansattning/befolkningsstatistik/pong/tabell-och-diagram/kvartals--och-halvarsstatistik--kommun-lan-och-riket/kvartal-2-2020/,HARD_404
http://www.scb.se/hitta-statistik/sverige-i-siffror/namnsok/,ERROR
https://kommunsiffror.scb.se/?id1=1440,200
https://kommunsiffror.scb.se/?id1=1489,200
https://kommunsiffror.scb.se/?id1=1582,200
https://kommunsiffror.scb.se/?id1=0764,200
https://kommunsiffror.scb.se/?id1=1521,200
https://kommunsiffror.scb.se/?id1=0604,200
https://kommunsiffror.scb.se/?id1=1984,200
https://kommunsiffror.scb.se/?id1=2506,200
https://kommunsiffror.scb.se/?id1=2505,200
https://kommunsiffror.scb.se/?id1=1784,200
https://kommunsiffror.scb.se/?id1=1882,200
https://kommunsiffror.scb.se/?id1=2084,200
https://kommunsiffror.scb.se/?id1=1460,200
https://kommunsiffror.scb.se/?id1=2403,200
https://kommunsiffror.scb.se/?id1=2326,200
https://kommunsiffror.scb.se/?id1=1560,200
https://kommunsiffror.scb.se/?id1=2582,200
https://kommunsiffror.scb.se/?id1=1260,200
https://kommunsiffror.scb.se/?id1=0127,200
https://kommunsiffror.scb.se/?id1=0560,200
https://kommunsiffror.scb.se/?id1=1162,200
https://kommunsiffror.scb.se/?id1=2425,200
https://kommunsiffror.scb.se/?id1=1272,200
https://kommunsiffror.scb.se/?id1=1730,200
https://kommunsiffror.scb.se/?id1=0125,ERROR
https://kommunsiffror.scb.se/?id1=0686,200
https://kommunsiffror.scb.se/?id1=0862,ERROR
https://kommunsiffror.scb.se/?id1=0484,200
https://kommunsiffror.scb.se/?id1=1285,200
https://kommunsiffror.scb.se/?id1=1438,ERROR
https://kommunsiffror.scb.se/?id1=2183,ERROR
https://kommunsiffror.scb.se/?id1=1278,ERROR
https://kommunsiffror.scb.se/?id1=0162,ERROR
https://kommunsiffror.scb.se/?id1=1535,ERROR
https://kommunsiffror.scb.se/?id1=2081,ERROR
https://kommunsiffror.scb.se/?id1=2305,ERROR
https://kommunsiffror.scb.se/?id1=1504,ERROR
https://kommunsiffror.scb.se/?id1=1490,ERROR
https://kommunsiffror.scb.se/?id1=1231,ERROR
https://kommunsiffror.scb.se/?id1=1603,ERROR
https://kommunsiffror.scb.se/?id1=0626,ERROR
https://kommunsiffror.scb.se/?id1=1583,ERROR
https://kommunsiffror.scb.se/?id1=1862,ERROR
https://kommunsiffror.scb.se/?id1=1443,ERROR
https://kommunsiffror.scb.se/?id1=1982,ERROR
https://kommunsiffror.scb.se/?id1=0885,200
https://kommunsiffror.scb.se/?id1=0381,ERROR
https://kommunsiffror.scb.se/?id1=1445,ERROR
https://kommunsiffror.scb.se/?id1=1499,200
https://kommunsiffror.scb.se/?id1=0121,200
https://kommunsiffror.scb.se/?id1=0221,ERROR
https://kommunsiffror.scb.se/?id1=1382,ERROR
https://kommunsiffror.scb.se/?id1=2080,200
https://kommunsiffror.scb.se/?id1=1480,200
https://kommunsiffror.scb.se/?id1=1471,200
https://kommunsiffror.scb.se/?id1=1661,ERROR
https://kommunsiffror.scb.se/?id1=1686,ERROR
https://kommunsiffror.scb.se/?id1=2026,200
https://kommunsiffror.scb.se/?id1=1168,200
https://kommunsiffror.scb.se/?id1=0482,ERROR
https://kommunsiffror.scb.se/?id1=0643,ERROR
https://kommunsiffror.scb.se/?id1=0562,200
https://kommunsiffror.scb.se/?id1=0662,ERROR
https://kommunsiffror.scb.se/?id1=1439,ERROR
https://kommunsiffror.scb.se/?id1=1782,ERROR
https://kommunsiffror.scb.se/?id1=1507,ERROR
https://kommunsiffror.scb.se/?id1=1861,ERROR
https://kommunsiffror.scb.se/?id1=1764,200
https://kommunsiffror.scb.se/?id1=1623,ERROR
https://kommunsiffror.scb.se/?id1=1763,ERROR
https://kommunsiffror.scb.se/?id1=2523,ERROR
https://kommunsiffror.scb.se/?id1=1602,ERROR
https://kommunsiffror.scb.se/?id1=0617,200
https://kommunsiffror.scb.se/?id1=0461,ERROR
https://kommunsiffror.scb.se/?id1=2180,ERROR
https://kommunsiffror.scb.se/?id1=2583,ERROR
https://kommunsiffror.scb.se/?id1=1380,ERROR
https://kommunsiffror.scb.se/?id1=2184,ERROR
https://kommunsiffror.scb.se/?id1=1497,ERROR
https://kommunsiffror.scb.se/?id1=1783,ERROR
https://kommunsiffror.scb.se/?id1=1444,ERROR
https://kommunsiffror.scb.se/?id1=1643,ERROR
https://kommunsiffror.scb.se/?id1=0136,ERROR
https://kommunsiffror.scb.se/?id1=1447,200
https://kommunsiffror.scb.se/?id1=1761,ERROR
https://kommunsiffror.scb.se/?id1=2104,ERROR
https://kommunsiffror.scb.se/?id1=1466,200
https://kommunsiffror.scb.se/?id1=0860,ERROR
https://kommunsiffror.scb.se/?id1=2083,200
https://kommunsiffror.scb.se/?id1=1401,ERROR
https://kommunsiffror.scb.se/?id1=0126,ERROR
https://kommunsiffror.scb.se/?id1=0322,ERROR
https://kommunsiffror.scb.se/?id1=1283,200
https://kommunsiffror.scb.se/?id1=1293,ERROR
https://kommunsiffror.scb.se/?id1=1684,ERROR
https://kommunsiffror.scb.se/?id1=2280,200
https://kommunsiffror.scb.se/?id1=1863,ERROR
https://kommunsiffror.scb.se/?id1=1961,ERROR
https://kommunsiffror.scb.se/?id1=1566,ERROR
https://kommunsiffror.scb.se/?id1=0331,ERROR
https://kommunsiffror.scb.se/?id1=2361,ERROR
https://kommunsiffror.scb.se/?id1=0305,ERROR
https://kommunsiffror.scb.se/?id1=2514,ERROR
https://kommunsiffror.scb.se/?id1=0880,ERROR
https://kommunsiffror.scb.se/?id1=0123,ERROR
https://kommunsiffror.scb.se/?id1=1883,ERROR
https://kommunsiffror.scb.se/?id1=0821,200
https://kommunsiffror.scb.se/?id1=1715,200
https://kommunsiffror.scb.se/?id1=0330,ERROR
https://kommunsiffror.scb.se/?id1=1315,ERROR
https://kommunsiffror.scb.se/?id1=2210,200
https://kommunsiffror.scb.se/?id1=1180,200
https://kommunsiffror.scb.se/?id1=1183,200
https://kommunsiffror.scb.se/?id1=2309,200
https://kommunsiffror.scb.se/?id1=1781,200
https://kommunsiffror.scb.se/?id1=1881,200
https://kommunsiffror.scb.se/?id1=1384,200
https://kommunsiffror.scb.se/?id1=1960,ERROR
https://kommunsiffror.scb.se/?id1=1482,ERROR
https://kommunsiffror.scb.se/?id1=1267,200
https://kommunsiffror.scb.se/?id1=1381,200
https://kommunsiffror.scb.se/?id1=1282,200
https://kommunsiffror.scb.se/?id1=2510,ERROR
https://kommunsiffror.scb.se/?id1=1446,ERROR
