dash_type,file,orgnr
ASCII hyphen (U+002D),myndighetsreg/Statliga affärsverk.txt,202100-0795
ASCII hyphen (U+002D),myndighetsreg/Statliga affärsverk.txt,202100-0654
ASCII hyphen (U+002D),myndighetsreg/Statliga affärsverk.txt,202100-4284
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2122
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-6313
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
ASCII hyphen (U+002D),myndighetsreg/Sveriges domstolar samt Domstolsverket.txt,202100-2742
