orgnr,wikidata_item,wikidata_label
2120001132,http://www.wikidata.org/entity/Q505018,Lunds kommun
2120001140,http://www.wikidata.org/entity/Q502298,Landskrona kommun
2120001157,http://www.wikidata.org/entity/Q487648,Helsingborgs kommun
2120001165,http://www.wikidata.org/entity/Q505013,Höganäs kommun
2120001173,http://www.wikidata.org/entity/Q1130264,Eslövs kommun
2120001181,http://www.wikidata.org/entity/Q505102,Ystads kommun
2120001199,http://www.wikidata.org/entity/Q504219,Trelleborgs kommun
2120001207,http://www.wikidata.org/entity/Q498477,Hylte kommun
2120001215,http://www.wikidata.org/entity/Q504692,Halmstads kommun
2120001223,http://www.wikidata.org/entity/Q487502,Laholms kommun
2120001231,http://www.wikidata.org/entity/Q508168,Falkenbergs kommun
2120001249,http://www.wikidata.org/entity/Q179180,Varbergs kommun
2120001256,http://www.wikidata.org/entity/Q499380,Kungsbacka kommun
2120001264,http://www.wikidata.org/entity/Q500125,Härryda kommun
2120001272,http://www.wikidata.org/entity/Q125222,Partille kommun
2120001280,http://www.wikidata.org/entity/Q293928,Öckerö kommun
2120001298,http://www.wikidata.org/entity/Q511438,Stenungsunds kommun
2120001306,http://www.wikidata.org/entity/Q501448,Tjörns kommun
2120001314,http://www.wikidata.org/entity/Q338752,Orusts kommun
2120001322,http://www.wikidata.org/entity/Q501420,Sotenäs kommun
2120001330,http://www.wikidata.org/entity/Q389040,Munkedals kommun
2120001348,http://www.wikidata.org/entity/Q511228,Tanums kommun
2120001355,http://www.wikidata.org/entity/Q52502,Göteborgs kommun
2120001363,http://www.wikidata.org/entity/Q511270,Mölndals kommun
2120001371,http://www.wikidata.org/entity/Q511394,Kungälvs kommun
2120001389,http://www.wikidata.org/entity/Q503173,Lysekils kommun
2120001397,http://www.wikidata.org/entity/Q501442,Uddevalla kommun
2120001405,http://www.wikidata.org/entity/Q501424,Strömstads kommun
2120001413,http://www.wikidata.org/entity/Q503132,Dals-Eds kommun
2120001421,http://www.wikidata.org/entity/Q499441,Färgelanda kommun
2120001439,http://www.wikidata.org/entity/Q498470,Ale kommun
2120001447,http://www.wikidata.org/entity/Q503188,Lerums kommun
2120001454,http://www.wikidata.org/entity/Q511297,Vårgårda kommun
2120001462,http://www.wikidata.org/entity/Q501479,Tranemo kommun
2120001470,http://www.wikidata.org/entity/Q267462,Bengtsfors kommun
2120001488,http://www.wikidata.org/entity/Q501438,Melleruds kommun
2120001496,http://www.wikidata.org/entity/Q511241,Lilla Edets kommun
2120001504,http://www.wikidata.org/entity/Q500153,Marks kommun
2120001512,http://www.wikidata.org/entity/Q501487,Svenljunga kommun
2120001520,http://www.wikidata.org/entity/Q503111,Herrljunga kommun
2120001538,http://www.wikidata.org/entity/Q511426,Vänersborgs kommun
2120001546,http://www.wikidata.org/entity/Q28532,Trollhättans kommun
2120001553,http://www.wikidata.org/entity/Q503162,Alingsås kommun
2120001561,http://www.wikidata.org/entity/Q894327,Borås kommun
2120001579,http://www.wikidata.org/entity/Q382808,Ulricehamns kommun
2120001587,http://www.wikidata.org/entity/Q271079,Åmåls kommun
2120001595,http://www.wikidata.org/entity/Q503148,Grästorps kommun
2120001603,http://www.wikidata.org/entity/Q505076,Mullsjö kommun
2120001611,http://www.wikidata.org/entity/Q503198,Habo kommun
2120001629,http://www.wikidata.org/entity/Q499435,Karlsborgs kommun
2120001637,http://www.wikidata.org/entity/Q503193,Gullspångs kommun
2120001652,http://www.wikidata.org/entity/Q511281,Götene kommun
2120001660,http://www.wikidata.org/entity/Q501432,Tibro kommun
2120001678,http://www.wikidata.org/entity/Q501470,Töreboda kommun
2120001686,http://www.wikidata.org/entity/Q427422,Mariestads kommun
2120001694,http://www.wikidata.org/entity/Q515358,Lidköpings kommun
2120001702,http://www.wikidata.org/entity/Q499421,Skara kommun
2120001710,http://www.wikidata.org/entity/Q501452,Skövde kommun
2120001728,http://www.wikidata.org/entity/Q428749,Hjo kommun
2120001736,http://www.wikidata.org/entity/Q501459,Tidaholms kommun
2120001744,http://www.wikidata.org/entity/Q503214,Falköpings kommun
2120001751,http://www.wikidata.org/entity/Q499393,Kils kommun
2120001769,http://www.wikidata.org/entity/Q498447,Eda kommun
2120001777,http://www.wikidata.org/entity/Q510135,Torsby kommun
2120001785,http://www.wikidata.org/entity/Q505936,Storfors kommun
2120001793,http://www.wikidata.org/entity/Q499359,Hammarö kommun
2120001801,http://www.wikidata.org/entity/Q501494,Munkfors kommun
2120001819,http://www.wikidata.org/entity/Q499385,Forshaga kommun
2120001827,http://www.wikidata.org/entity/Q503122,Grums kommun
